seller_id,item_id,units_sold,revenue,marketplace_price,sale_date,dataset_name,dq_failure_reason,quarantine_timestamp
C225,I27793,1117,1.0496901414E8,82949.75,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C204,I47310,1426,3.62680438E7,73814.58,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C221,I59864,2305,8.698989765E7,137313.71,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C207,I66320,1931,1.1180442113E8,31388.0,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C245,I81451,2557,3.5228572257E8,58055.31,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C246,I81892,441,3.803272672E7,108122.47,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C231,I91897,2647,3.0476503867E8,76957.71,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C224,I94301,2655,2.3928392038E8,6035.96,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C201,I97178,2148,1.7614070326E8,105293.58,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C234,I105917,865,6.41068929E7,25256.79,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C241,I119761,924,4.453493283E7,24456.87,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C227,I128649,913,9.103672948E7,64626.73,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C221,I144802,0,2.410158129E7,63919.91,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C243,I153093,1607,6.841145282E7,61198.22,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C249,I153851,2459,3.31146802E8,110728.95,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C221,I210041,715,9.819243401E7,143943.05,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C235,I211799,644,2097819.6,58962.65,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C240,I217391,2439,1.3552174466E8,12786.4,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C205,I220302,562,7.572086883E7,79490.78,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
C249,I236655,2719,3.4634772332E8,109644.34,,competitor_sales,invalid_sale_date,2025-11-18T16:15:14.087452
