item_id,units_sold,revenue,sale_date,dataset_name,dq_failure_reason,quarantine_timestamp
I302252,1628,1.9964970229E8,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I313759,767,5.298863863E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I314375,1795,7866975.37,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I315985,1587,1.3896453988E8,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I323906,891,8902802.09,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I326791,867,2.338280007E7,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I329404,1299,6.617249128E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I349201,1481,1.3569425429E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I363784,856,7.423045036E7,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I365099,1747,2.049833843E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I313147,1214,4.302497313E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I333038,1698,2.5344244988E8,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I348975,1791,1.8241545545E8,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I358718,696,3.512832799E7,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I362429,1849,0.0,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I367908,1117,1.702960557E7,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I381685,1254,6.625813327E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I399841,353,4.222044775E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I401778,1802,1.6312397402E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I407571,1571,3.025265661E7,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I427016,1963,2.5770183156E8,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I430250,836,2.799981847E7,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I436075,948,3.924727027E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I438123,610,2.250464282E7,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I444271,1077,4.188331883E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I458291,589,8.364381522E7,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I460325,118,1.024349584E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I468215,1037,0.0,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I472421,1750,6.679767252E7,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I479316,128,1.139337843E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I479692,1893,2.3226168277E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I482079,1773,2.1787234169E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I488231,1748,2.242234473E7,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I493023,410,5.24013701E7,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I496972,1477,2.582625006E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I504035,1420,3.72465024E7,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I505654,1470,1.4792545355E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I508074,553,3.079407013E7,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I519837,1859,1.8927645408E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I522745,1864,8.114896661E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I531601,427,6.237434014E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I535532,578,3.404820023E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I537111,1737,1.6132940225E8,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I540393,52,4556489.8,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I541990,1835,1.2442009855E8,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I542333,155,8590259.44,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I544395,329,1.481409005E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I555008,1272,1.5904154298E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I561393,846,8.859140063E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I294070,938,1.912993631E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I297213,1963,2.4118470558E8,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I304497,141,1.087771542E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
I306388,1754,1.5106819201E8,,company_sales,invalid_sale_date,2025-11-18T16:00:09.692315
