seller_id,item_id,item_name,category,marketplace_price,stock_qty,dataset_name,dq_failure_reason,quarantine_timestamp
S100,I1008288,Reebok Nano X4,Footwear,37324.54,-17,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I106321,Sony Wh-1000xm5 Headphones,Electronics,43613.32,-3,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I138156,U.s. Polo T-shirt,Apparel,64044.16,-17,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I176940,Reebok Nano X4,Footwear,77820.29,-18,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I183604,Boat Smartwatch,Electronics,125457.14,-12,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I209068,Adidas Ultraboost 23,Footwear,20105.16,-9,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I214407,Dyson Vacuum Cleaner,Home Appliances,117278.35,-15,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I21599,Skechers Gowalk,Footwear,33649.02,-8,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I222387,Dell Xps 13 Laptop,Electronics,88046.48,-3,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I231186,Levis Denim Jacket,Apparel,28331.05,-10,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I233220,Samsung 55” Smart Tv,Home Appliances,68933.42,-18,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I237463,,Home Appliances,12236.48,-14,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I238114,Allen Solly Formal Pants,Apparel,77161.83,-12,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I250116,Lg 7kg Washing Machine,Home Appliances,93682.71,-11,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I256238,Levis Denim Jacket,Apparel,9508.45,-12,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I263082,Levis Denim Jacket,Apparel,51079.44,-9,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I27216,Skechers Gowalk,Footwear,2526.11,-17,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I289842,Apple Iphone 15 Pro,Electronics,54466.53,-10,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I293655,Apple Iphone 15 Pro,Electronics,73649.44,-4,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I298231,Skechers Gowalk,Footwear,19946.92,-1,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I299724,Dell Xps 13 Laptop,Electronics,114781.45,-20,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I322833,Dyson Vacuum Cleaner,Home Appliances,113305.84,-20,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I323469,Samsung Galaxy S24 Ultra,Electronics,57087.8,-7,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I335742,Puma Running Shoes,Footwear,93793.64,-19,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I336280,Allen Solly Formal Pants,Apparel,904.71,-18,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I336430,Bajaj Mixer Grinder,Home Appliances,96980.65,-8,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I361141,H&m Cotton Shirt,Apparel,138527.5,-7,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I374569,Boat Smartwatch,Electronics,95785.05,-7,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I376553,Philips Air Fryer,Home Appliances,122775.21,-15,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I383266,Dyson Vacuum Cleaner,Home Appliances,12936.15,-12,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I424047,Nike Air Zoom Pegasus,Footwear,53771.97,-14,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I442670,Adidas Ultraboost 23,Footwear,53657.97,-11,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I445426,Nike Air Zoom Pegasus,Footwear,73699.89,-1,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I451080,,Electronics,41614.92,-3,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I452789,Zara Maxi Dress,Apparel,93332.98,-10,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I467549,Bajaj Mixer Grinder,Home Appliances,86003.91,-10,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I478001,Bajaj Mixer Grinder,Home Appliances,49576.14,-13,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I490163,Bajaj Mixer Grinder,Home Appliances,130063.12,-1,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I493453,Allen Solly Formal Pants,Apparel,55683.75,-4,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I512595,H&m Cotton Shirt,Apparel,59197.88,-14,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I517524,Skechers Gowalk,Footwear,132990.1,-15,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
S100,I526741,Dyson Vacuum Cleaner,Home Appliances,93846.33,-7,seller_catalog,invalid_stock_qty,2025-11-18T15:58:53.973015
